id_chamado,id_ativo,categoria_equipamento,filial_operacao,dt_abertura_chamado,sla_prometido_horas,tempo_atendimento_horas,custo_manutencao,status_ativo
CH-10225,EQP-229,Trator Agro,Ribeirão Preto,2026-01-07 05:00:00,48,10.8,6243.0,Em Operação
CH-10226,EQP-152,Caminhão Heavy Duty,Ribeirão Preto,2026-03-21 08:00:00,48,101.9,9078.87,Em Operação
CH-10227,EQP-271,Escavadeira Linha Amarela,Cuiabá,2026-05-11 15:00:00,72,29.7,3935.37,Em Operação
CH-10228,EQP-259,Trator Agro,Cuiabá,2026-04-19 03:00:00,72,80.1,6319.53,Em Operação
CH-10229,EQP-297,Caminhão Heavy Duty,Mogi das Cruzes,2026-01-03 02:00:00,48,33.8,10324.97,Em Operação
CH-10230,EQP-259,Trator Agro,Uberlândia,2026-01-27 15:00:00,24,11.0,5762.47,Em Operação
CH-10231,EQP-167,Trator Agro,Mogi das Cruzes,2026-04-24 11:00:00,48,13.9,4508.72,Em Operação
CH-10232,EQP-282,Caminhão Heavy Duty,Cuiabá,2026-04-17 10:00:00,48,24.0,6573.02,Em Operação
CH-10233,EQP-283,Escavadeira Linha Amarela,Jundiaí,2026-02-09 04:00:00,24,46.8,8693.14,Em Operação
CH-10234,EQP-222,Escavadeira Linha Amarela,Cuiabá,2026-06-10 17:00:00,72,11.5,5489.69,Em Operação
CH-10235,EQP-244,Utilitário Leve,Uberlândia,2026-05-09 18:00:00,48,26.0,11284.86,Em Operação
CH-10236,EQP-137,Caminhão Heavy Duty,Cuiabá,2026-01-08 22:00:00,48,12.7,3750.87,Em Operação
CH-10237,EQP-123,Utilitário Leve,Uberlândia,2026-04-11 22:00:00,72,50.7,5862.92,Em Manutenção
CH-10238,EQP-168,Utilitário Leve,Uberlândia,2026-06-09 05:00:00,72,18.9,9156.05,Em Operação
CH-10239,EQP-215,Utilitário Leve,Uberlândia,2026-05-04 21:00:00,24,2.4,8362.72,Em Operação
CH-10240,EQP-197,Escavadeira Linha Amarela,Uberlândia,2026-06-25 17:00:00,72,5.4,10404.6,Em Operação
CH-10241,EQP-297,Caminhão Heavy Duty,Uberlândia,2026-04-17 05:00:00,72,1.9,11962.67,Em Operação
CH-10242,EQP-238,Utilitário Leve,Jundiaí,2026-04-11 03:00:00,72,20.8,5294.24,Em Operação
CH-10243,EQP-243,Caminhão Heavy Duty,Mogi das Cruzes,2026-01-04 11:00:00,24,3.4,1600.47,Em Manutenção
CH-10244,EQP-196,Caminhão Heavy Duty,Ribeirão Preto,2026-04-20 18:00:00,72,3.6,655.87,Em Operação
CH-10245,EQP-223,Escavadeira Linha Amarela,Mogi das Cruzes,2026-01-19 01:00:00,72,84.9,8804.46,Em Manutenção
CH-10246,EQP-286,Utilitário Leve,Uberlândia,2026-02-01 16:00:00,24,61.8,10525.96,Em Manutenção
CH-10247,EQP-169,Utilitário Leve,Jundiaí,2026-05-17 10:00:00,72,18.0,2882.34,Em Operação
CH-10248,EQP-192,Caminhão Heavy Duty,Cuiabá,2026-01-12 10:00:00,72,127.6,2153.84,Em Operação
CH-10249,EQP-102,Trator Agro,Jundiaí,2026-05-19 20:00:00,24,0.0,1027.8,Em Operação
CH-10250,EQP-247,Escavadeira Linha Amarela,Uberlândia,2026-02-15 15:00:00,48,28.6,9925.62,Em Operação
CH-10251,EQP-286,Escavadeira Linha Amarela,Jundiaí,2026-04-29 01:00:00,24,28.7,3943.17,Em Manutenção
CH-10252,EQP-263,Escavadeira Linha Amarela,Jundiaí,2026-01-16 01:00:00,72,18.3,4999.85,Em Operação
CH-10253,EQP-246,Escavadeira Linha Amarela,Uberlândia,2026-05-09 22:00:00,72,15.2,6182.18,Em Manutenção
CH-10254,EQP-189,Utilitário Leve,Jundiaí,2026-03-04 07:00:00,72,18.2,10121.6,Em Operação
CH-10255,EQP-294,Utilitário Leve,Ribeirão Preto,2026-04-19 12:00:00,24,16.1,7914.75,Em Manutenção
CH-10256,EQP-246,Trator Agro,Ribeirão Preto,2026-04-29 09:00:00,72,39.3,7496.26,Em Manutenção
CH-10257,EQP-247,Escavadeira Linha Amarela,Jundiaí,2026-01-21 07:00:00,72,4.4,2355.36,Em Operação
CH-10258,EQP-195,Escavadeira Linha Amarela,Cuiabá,2026-06-07 03:00:00,24,6.6,6304.32,Em Operação
CH-10259,EQP-298,Caminhão Heavy Duty,Uberlândia,2026-01-13 14:00:00,48,6.0,8669.96,Em Operação
CH-10260,EQP-151,Utilitário Leve,Ribeirão Preto,2026-06-11 00:00:00,48,9.1,11687.15,Em Operação
CH-10261,EQP-260,Escavadeira Linha Amarela,Cuiabá,2026-01-04 10:00:00,72,22.3,2656.45,Em Manutenção
CH-10262,EQP-267,Trator Agro,Jundiaí,2026-06-05 06:00:00,24,3.5,411.66,Em Operação
CH-10263,EQP-227,Trator Agro,Cuiabá,2026-04-12 16:00:00,72,60.8,1181.03,Em Operação
CH-10264,EQP-138,Utilitário Leve,Mogi das Cruzes,2026-02-28 19:00:00,24,10.6,4697.47,Em Operação
CH-10265,EQP-181,Trator Agro,Ribeirão Preto,2026-05-08 17:00:00,24,5.3,9900.37,Em Operação
CH-10266,EQP-203,Trator Agro,Jundiaí,2026-01-27 21:00:00,48,33.8,383.56,Em Operação
CH-10267,EQP-228,Utilitário Leve,Uberlândia,2026-03-10 21:00:00,48,1.2,5643.75,Em Operação
CH-10268,EQP-110,Escavadeira Linha Amarela,Jundiaí,2026-01-25 11:00:00,24,29.0,4152.0,Em Operação
CH-10269,EQP-284,Escavadeira Linha Amarela,Uberlândia,2026-05-11 08:00:00,72,35.9,914.04,Em Operação
CH-10270,EQP-277,Trator Agro,Jundiaí,2026-04-07 04:00:00,48,7.3,5567.76,Em Operação
CH-10271,EQP-250,Trator Agro,Cuiabá,2026-01-25 09:00:00,72,1.3,3280.56,Em Operação
CH-10272,EQP-258,Escavadeira Linha Amarela,Cuiabá,2026-05-28 03:00:00,48,13.6,4417.05,Em Operação
CH-10273,EQP-141,Utilitário Leve,Cuiabá,2026-06-11 04:00:00,48,3.1,8555.7,Em Operação
CH-10274,EQP-198,Trator Agro,Mogi das Cruzes,2026-06-03 09:00:00,72,3.7,6402.15,Em Operação
CH-10275,EQP-106,Caminhão Heavy Duty,Uberlândia,2026-05-06 10:00:00,48,8.8,1758.37,Em Operação
CH-10276,EQP-243,Utilitário Leve,Cuiabá,2026-05-13 20:00:00,48,10.5,11548.55,Em Operação
CH-10277,EQP-189,Trator Agro,Mogi das Cruzes,2026-01-09 09:00:00,72,22.6,7740.16,Em Operação
CH-10278,EQP-211,Trator Agro,Uberlândia,2026-04-26 07:00:00,48,34.0,9260.66,Em Manutenção
CH-10279,EQP-159,Caminhão Heavy Duty,Jundiaí,2026-06-27 01:00:00,48,27.0,1226.79,Em Operação
CH-10280,EQP-212,Caminhão Heavy Duty,Mogi das Cruzes,2026-05-14 22:00:00,48,4.8,850.58,Em Manutenção
CH-10281,EQP-101,Escavadeira Linha Amarela,Ribeirão Preto,2026-03-01 07:00:00,72,5.7,527.54,Em Operação
CH-10282,EQP-228,Utilitário Leve,Mogi das Cruzes,2026-06-21 15:00:00,24,63.3,2508.89,Em Operação
CH-10283,EQP-147,Utilitário Leve,Mogi das Cruzes,2026-05-01 21:00:00,72,24.5,5148.58,Em Operação
CH-10284,EQP-239,Escavadeira Linha Amarela,Uberlândia,2026-05-19 04:00:00,24,61.2,11249.17,Em Operação
CH-10285,EQP-296,Utilitário Leve,Jundiaí,2026-06-24 02:00:00,48,13.9,5647.6,Em Operação
CH-10286,EQP-136,Utilitário Leve,Ribeirão Preto,2026-04-18 11:00:00,24,28.6,3695.98,Em Operação
CH-10287,EQP-259,Utilitário Leve,Cuiabá,2026-04-18 12:00:00,72,22.2,6874.64,Em Operação
CH-10288,EQP-108,Utilitário Leve,Cuiabá,2026-05-11 12:00:00,72,11.5,1609.63,Em Operação
CH-10289,EQP-198,Utilitário Leve,Mogi das Cruzes,2026-03-17 09:00:00,48,19.0,7431.22,Em Operação
CH-10290,EQP-246,Caminhão Heavy Duty,Uberlândia,2026-01-30 03:00:00,24,20.9,6950.65,Em Operação
CH-10291,EQP-147,Utilitário Leve,Uberlândia,2026-01-21 08:00:00,48,6.7,9566.32,Em Operação
CH-10292,EQP-230,Caminhão Heavy Duty,Cuiabá,2026-06-05 21:00:00,48,11.4,11844.25,Em Operação
CH-10293,EQP-247,Utilitário Leve,Ribeirão Preto,2026-06-10 22:00:00,72,47.0,3235.22,Em Operação
CH-10294,EQP-251,Escavadeira Linha Amarela,Jundiaí,2026-06-12 01:00:00,24,74.2,6262.98,Em Operação
CH-10295,EQP-153,Trator Agro,Ribeirão Preto,2026-06-29 18:00:00,24,13.4,10933.73,Em Operação
CH-10296,EQP-219,Caminhão Heavy Duty,Jundiaí,2026-02-03 00:00:00,24,11.0,9486.72,Em Operação
CH-10297,EQP-260,Utilitário Leve,Cuiabá,2026-02-10 06:00:00,24,6.5,6002.65,Em Manutenção
CH-10298,EQP-251,Escavadeira Linha Amarela,Jundiaí,2026-02-20 16:00:00,48,34.0,11360.85,Em Operação
CH-10299,EQP-215,Trator Agro,Uberlândia,2026-06-24 02:00:00,48,11.7,969.67,Em Operação
CH-10300,EQP-174,Caminhão Heavy Duty,Mogi das Cruzes,2026-03-23 19:00:00,72,132.1,11192.68,Em Operação
CH-10301,EQP-212,Trator Agro,Mogi das Cruzes,2026-02-27 19:00:00,48,11.8,890.94,Em Operação
CH-10302,EQP-299,Escavadeira Linha Amarela,Cuiabá,2026-03-16 20:00:00,48,15.0,6703.47,Em Operação
CH-10303,EQP-263,Caminhão Heavy Duty,Uberlândia,2026-01-23 02:00:00,72,27.7,10718.16,Em Operação
CH-10304,EQP-265,Trator Agro,Ribeirão Preto,2026-06-25 02:00:00,72,48.5,3373.84,Em Operação
CH-10305,EQP-203,Utilitário Leve,Uberlândia,2026-05-08 16:00:00,72,19.0,5825.31,Em Operação
CH-10306,EQP-183,Caminhão Heavy Duty,Mogi das Cruzes,2026-05-30 06:00:00,48,16.5,4094.65,Em Operação
CH-10307,EQP-211,Trator Agro,Mogi das Cruzes,2026-01-17 13:00:00,48,163.0,11440.08,Em Operação
CH-10308,EQP-198,Escavadeira Linha Amarela,Uberlândia,2026-03-10 16:00:00,72,0.3,9936.65,Em Operação
CH-10309,EQP-252,Escavadeira Linha Amarela,Uberlândia,2026-04-18 17:00:00,72,67.6,8595.32,Em Operação
CH-10310,EQP-192,Caminhão Heavy Duty,Mogi das Cruzes,2026-05-19 12:00:00,72,4.8,7175.24,Em Operação
CH-10311,EQP-245,Trator Agro,Ribeirão Preto,2026-04-04 19:00:00,48,46.2,9900.92,Em Operação
CH-10312,EQP-227,Caminhão Heavy Duty,Cuiabá,2026-01-15 19:00:00,48,28.9,4889.52,Em Operação
CH-10313,EQP-209,Caminhão Heavy Duty,Cuiabá,2026-04-01 20:00:00,24,12.5,5536.36,Em Operação
CH-10314,EQP-181,Trator Agro,Uberlândia,2026-06-12 17:00:00,48,62.1,8841.02,Em Operação
CH-10315,EQP-293,Trator Agro,Cuiabá,2026-02-02 03:00:00,48,0.4,4485.73,Em Manutenção
CH-10316,EQP-153,Utilitário Leve,Mogi das Cruzes,2026-05-05 00:00:00,48,7.7,1047.64,Em Operação
CH-10317,EQP-262,Trator Agro,Mogi das Cruzes,2026-01-16 17:00:00,72,25.1,1169.71,Em Manutenção
CH-10318,EQP-288,Escavadeira Linha Amarela,Uberlândia,2026-06-11 00:00:00,48,13.0,1649.74,Em Operação
CH-10319,EQP-268,Caminhão Heavy Duty,Uberlândia,2026-03-07 12:00:00,72,28.3,10475.27,Em Operação
CH-10320,EQP-260,Caminhão Heavy Duty,Uberlândia,2026-06-17 19:00:00,24,0.7,5825.05,Em Operação
CH-10321,EQP-167,Escavadeira Linha Amarela,Ribeirão Preto,2026-06-05 19:00:00,24,3.7,8640.72,Em Operação
CH-10322,EQP-132,Trator Agro,Cuiabá,2026-02-16 22:00:00,72,4.1,4897.04,Em Operação
CH-10323,EQP-241,Escavadeira Linha Amarela,Uberlândia,2026-06-16 09:00:00,72,6.3,3326.92,Em Operação
CH-10324,EQP-120,Escavadeira Linha Amarela,Jundiaí,2026-05-28 10:00:00,72,18.4,4362.15,Em Operação
CH-10325,EQP-147,Utilitário Leve,Jundiaí,2026-05-04 08:00:00,48,41.8,9591.93,Em Manutenção
CH-10326,EQP-247,Escavadeira Linha Amarela,Mogi das Cruzes,2026-01-01 08:00:00,24,70.8,7615.03,Em Operação
CH-10327,EQP-227,Caminhão Heavy Duty,Cuiabá,2026-03-28 04:00:00,72,54.1,11270.39,Em Operação
CH-10328,EQP-235,Escavadeira Linha Amarela,Uberlândia,2026-05-08 00:00:00,48,6.6,8252.55,Em Operação
CH-10329,EQP-234,Caminhão Heavy Duty,Jundiaí,2026-03-08 16:00:00,24,17.5,6971.13,Em Operação
CH-10330,EQP-294,Caminhão Heavy Duty,Cuiabá,2026-01-04 21:00:00,48,6.7,7439.29,Em Operação
CH-10331,EQP-244,Caminhão Heavy Duty,Mogi das Cruzes,2026-06-02 01:00:00,24,9.2,11325.75,Em Operação
CH-10332,EQP-227,Trator Agro,Ribeirão Preto,2026-02-16 12:00:00,48,21.0,9521.95,Em Manutenção
CH-10333,EQP-132,Utilitário Leve,Cuiabá,2026-02-07 08:00:00,24,2.1,581.28,Em Operação
CH-10334,EQP-275,Caminhão Heavy Duty,Cuiabá,2026-05-23 03:00:00,24,7.4,6549.43,Em Operação
CH-10335,EQP-286,Caminhão Heavy Duty,Ribeirão Preto,2026-01-21 04:00:00,48,82.2,8353.56,Em Operação
CH-10336,EQP-214,Trator Agro,Cuiabá,2026-02-26 10:00:00,72,18.8,9059.77,Em Manutenção
CH-10337,EQP-218,Caminhão Heavy Duty,Mogi das Cruzes,2026-04-27 18:00:00,24,17.7,2793.76,Em Operação
CH-10338,EQP-121,Escavadeira Linha Amarela,Mogi das Cruzes,2026-02-15 20:00:00,72,0.4,10445.98,Em Operação
CH-10339,EQP-257,Escavadeira Linha Amarela,Ribeirão Preto,2026-05-22 02:00:00,48,8.5,11483.36,Em Operação
CH-10340,EQP-137,Utilitário Leve,Uberlândia,2026-05-25 11:00:00,72,60.4,3069.57,Em Operação
CH-10341,EQP-208,Caminhão Heavy Duty,Jundiaí,2026-02-08 18:00:00,72,5.4,10626.6,Em Operação
CH-10342,EQP-150,Trator Agro,Uberlândia,2026-05-17 18:00:00,72,16.1,1434.65,Em Operação
CH-10343,EQP-281,Escavadeira Linha Amarela,Cuiabá,2026-04-09 12:00:00,72,0.4,951.77,Em Manutenção
CH-10344,EQP-107,Trator Agro,Jundiaí,2026-03-18 06:00:00,72,19.5,1811.92,Em Manutenção
CH-10345,EQP-126,Trator Agro,Ribeirão Preto,2026-04-25 14:00:00,24,0.6,975.57,Em Operação
CH-10346,EQP-126,Escavadeira Linha Amarela,Ribeirão Preto,2026-05-14 22:00:00,24,51.4,10186.64,Em Operação
CH-10347,EQP-120,Trator Agro,Jundiaí,2026-05-31 06:00:00,24,52.3,990.89,Em Operação
CH-10348,EQP-129,Escavadeira Linha Amarela,Mogi das Cruzes,2026-04-01 07:00:00,48,46.5,3478.47,Em Manutenção
CH-10349,EQP-196,Trator Agro,Jundiaí,2026-04-08 04:00:00,72,10.0,1513.95,Em Operação
CH-10350,EQP-127,Escavadeira Linha Amarela,Cuiabá,2026-04-30 20:00:00,24,54.5,3756.44,Em Operação
CH-10351,EQP-210,Caminhão Heavy Duty,Mogi das Cruzes,2026-02-15 13:00:00,48,23.5,1359.55,Em Operação
CH-10352,EQP-291,Utilitário Leve,Ribeirão Preto,2026-02-07 03:00:00,24,14.0,8115.64,Em Operação
CH-10353,EQP-296,Escavadeira Linha Amarela,Jundiaí,2026-05-22 22:00:00,24,29.5,1859.92,Em Operação
CH-10354,EQP-160,Escavadeira Linha Amarela,Uberlândia,2026-04-10 09:00:00,72,0.4,10266.6,Em Operação
CH-10355,EQP-147,Utilitário Leve,Uberlândia,2026-03-13 19:00:00,48,4.6,9861.14,Em Operação
CH-10356,EQP-246,Escavadeira Linha Amarela,Cuiabá,2026-02-04 14:00:00,72,40.7,459.84,Em Manutenção
CH-10357,EQP-103,Escavadeira Linha Amarela,Uberlândia,2026-05-27 17:00:00,72,8.4,10780.0,Em Operação
CH-10358,EQP-134,Trator Agro,Jundiaí,2026-01-30 19:00:00,24,27.3,638.65,Em Operação
CH-10359,EQP-291,Utilitário Leve,Jundiaí,2026-03-19 12:00:00,72,14.6,3103.86,Em Operação
CH-10360,EQP-148,Caminhão Heavy Duty,Uberlândia,2026-03-25 07:00:00,48,57.9,678.95,Em Operação
CH-10361,EQP-116,Escavadeira Linha Amarela,Jundiaí,2026-04-23 08:00:00,72,91.4,4229.37,Em Operação
CH-10362,EQP-271,Utilitário Leve,Cuiabá,2026-01-25 15:00:00,72,64.5,6312.24,Em Operação
CH-10363,EQP-257,Trator Agro,Mogi das Cruzes,2026-06-17 18:00:00,72,9.5,9620.74,Em Operação
CH-10364,EQP-145,Caminhão Heavy Duty,Cuiabá,2026-03-29 15:00:00,24,6.5,4254.38,Em Manutenção
CH-10365,EQP-216,Utilitário Leve,Cuiabá,2026-01-14 06:00:00,48,19.3,8554.23,Em Operação
CH-10366,EQP-105,Caminhão Heavy Duty,Jundiaí,2026-06-03 13:00:00,24,0.2,2493.8,Em Operação
CH-10367,EQP-198,Caminhão Heavy Duty,Mogi das Cruzes,2026-04-12 13:00:00,24,0.8,9082.0,Em Operação
CH-10368,EQP-223,Caminhão Heavy Duty,Jundiaí,2026-05-30 03:00:00,24,24.2,3061.16,Em Operação
CH-10369,EQP-136,Escavadeira Linha Amarela,Ribeirão Preto,2026-06-25 14:00:00,24,22.0,1979.47,Em Operação
CH-10370,EQP-123,Escavadeira Linha Amarela,Jundiaí,2026-03-24 02:00:00,24,156.5,2469.28,Em Manutenção
CH-10371,EQP-192,Trator Agro,Jundiaí,2026-04-20 04:00:00,48,6.8,2430.14,Em Operação
CH-10372,EQP-145,Trator Agro,Jundiaí,2026-06-28 00:00:00,72,9.0,6300.5,Em Operação
CH-10373,EQP-280,Utilitário Leve,Mogi das Cruzes,2026-05-11 02:00:00,24,3.6,10184.13,Em Manutenção
CH-10374,EQP-194,Trator Agro,Jundiaí,2026-06-19 14:00:00,24,74.9,1231.38,Em Operação
CH-10375,EQP-198,Caminhão Heavy Duty,Mogi das Cruzes,2026-01-19 07:00:00,48,45.1,8571.39,Em Operação
CH-10376,EQP-287,Caminhão Heavy Duty,Uberlândia,2026-01-28 03:00:00,48,51.8,7955.85,Em Operação
CH-10377,EQP-215,Escavadeira Linha Amarela,Ribeirão Preto,2026-06-22 01:00:00,72,69.9,10508.48,Em Operação
CH-10378,EQP-290,Caminhão Heavy Duty,Mogi das Cruzes,2026-03-12 09:00:00,48,22.3,3156.53,Em Operação
CH-10379,EQP-259,Utilitário Leve,Uberlândia,2026-03-04 03:00:00,72,18.0,5566.29,Em Operação
CH-10380,EQP-260,Caminhão Heavy Duty,Mogi das Cruzes,2026-03-14 02:00:00,24,12.0,11132.18,Em Operação
CH-10381,EQP-166,Caminhão Heavy Duty,Mogi das Cruzes,2026-05-04 01:00:00,24,26.7,8021.92,Em Operação
CH-10382,EQP-227,Utilitário Leve,Ribeirão Preto,2026-04-29 16:00:00,72,18.2,4848.59,Em Operação
CH-10383,EQP-117,Trator Agro,Cuiabá,2026-05-01 22:00:00,48,18.0,1837.52,Em Operação
CH-10384,EQP-124,Trator Agro,Cuiabá,2026-01-19 20:00:00,72,82.9,3371.07,Em Operação
CH-10385,EQP-153,Utilitário Leve,Mogi das Cruzes,2026-06-24 19:00:00,48,124.1,7100.22,Em Manutenção
CH-10386,EQP-157,Escavadeira Linha Amarela,Jundiaí,2026-05-22 22:00:00,24,47.8,8702.56,Em Operação
CH-10387,EQP-166,Caminhão Heavy Duty,Uberlândia,2026-04-30 12:00:00,48,42.4,1755.74,Em Operação
CH-10388,EQP-203,Utilitário Leve,Jundiaí,2026-06-15 04:00:00,72,34.2,7315.29,Em Operação
CH-10389,EQP-273,Caminhão Heavy Duty,Jundiaí,2026-03-02 20:00:00,72,5.4,6739.11,Em Operação
CH-10390,EQP-123,Escavadeira Linha Amarela,Mogi das Cruzes,2026-06-13 08:00:00,24,1.8,6313.28,Em Manutenção
CH-10391,EQP-213,Caminhão Heavy Duty,Mogi das Cruzes,2026-06-17 21:00:00,48,35.2,8374.44,Em Operação
CH-10392,EQP-131,Utilitário Leve,Mogi das Cruzes,2026-01-30 05:00:00,48,39.1,10098.16,Em Operação
CH-10393,EQP-274,Caminhão Heavy Duty,Mogi das Cruzes,2026-01-09 04:00:00,48,1.4,4078.98,Em Operação
CH-10394,EQP-185,Trator Agro,Cuiabá,2026-03-05 09:00:00,24,79.0,10701.44,Em Operação
CH-10395,EQP-250,Escavadeira Linha Amarela,Mogi das Cruzes,2026-06-10 07:00:00,48,2.9,2179.41,Em Operação
CH-10396,EQP-293,Escavadeira Linha Amarela,Cuiabá,2026-04-30 06:00:00,72,10.1,2324.38,Em Operação
CH-10397,EQP-226,Escavadeira Linha Amarela,Cuiabá,2026-02-21 06:00:00,48,33.5,3421.23,Em Operação
CH-10398,EQP-254,Utilitário Leve,Mogi das Cruzes,2026-03-30 05:00:00,24,5.6,1698.51,Em Operação
CH-10399,EQP-229,Escavadeira Linha Amarela,Ribeirão Preto,2026-05-22 20:00:00,48,1.7,2994.73,Em Operação
CH-10400,EQP-116,Trator Agro,Uberlândia,2026-02-22 19:00:00,48,12.1,1545.02,Em Operação
CH-10401,EQP-203,Utilitário Leve,Jundiaí,2026-03-19 02:00:00,72,43.6,9914.5,Em Operação
CH-10402,EQP-260,Trator Agro,Cuiabá,2026-02-10 18:00:00,48,16.0,1925.94,Em Manutenção
CH-10403,EQP-236,Caminhão Heavy Duty,Uberlândia,2026-03-09 21:00:00,72,31.8,9043.38,Em Operação
CH-10404,EQP-142,Caminhão Heavy Duty,Ribeirão Preto,2026-01-08 14:00:00,72,26.0,860.59,Em Operação
CH-10405,EQP-275,Caminhão Heavy Duty,Jundiaí,2026-01-02 03:00:00,24,0.7,11397.69,Em Operação
CH-10406,EQP-138,Caminhão Heavy Duty,Jundiaí,2026-04-15 11:00:00,72,134.1,8620.57,Em Operação
CH-10407,EQP-269,Trator Agro,Cuiabá,2026-05-05 05:00:00,72,1.3,379.52,Em Manutenção
CH-10408,EQP-125,Utilitário Leve,Mogi das Cruzes,2026-04-20 18:00:00,24,103.1,9237.12,Em Operação
CH-10409,EQP-198,Utilitário Leve,Ribeirão Preto,2026-03-27 03:00:00,72,23.9,6314.76,Em Operação
CH-10410,EQP-149,Escavadeira Linha Amarela,Cuiabá,2026-06-18 14:00:00,24,99.0,9418.57,Em Operação
CH-10411,EQP-252,Trator Agro,Ribeirão Preto,2026-04-30 08:00:00,48,3.7,6413.21,Em Operação
CH-10412,EQP-251,Caminhão Heavy Duty,Mogi das Cruzes,2026-05-07 04:00:00,24,20.2,7799.99,Em Operação
CH-10413,EQP-112,Trator Agro,Mogi das Cruzes,2026-01-16 12:00:00,72,5.6,9500.08,Em Operação
CH-10414,EQP-159,Escavadeira Linha Amarela,Cuiabá,2026-03-03 22:00:00,24,1.6,5039.76,Em Operação
CH-10415,EQP-234,Escavadeira Linha Amarela,Mogi das Cruzes,2026-04-23 17:00:00,72,28.8,331.69,Em Operação
CH-10416,EQP-156,Trator Agro,Uberlândia,2026-06-25 04:00:00,48,7.0,10244.37,Em Operação
CH-10417,EQP-135,Trator Agro,Jundiaí,2026-06-07 15:00:00,24,26.6,4756.42,Em Operação
CH-10418,EQP-272,Trator Agro,Cuiabá,2026-01-12 18:00:00,48,3.6,6103.7,Em Operação
CH-10419,EQP-119,Utilitário Leve,Ribeirão Preto,2026-02-04 13:00:00,72,12.1,390.87,Em Operação
CH-10420,EQP-164,Caminhão Heavy Duty,Uberlândia,2026-01-11 15:00:00,72,45.6,6057.48,Em Operação
CH-10421,EQP-107,Trator Agro,Cuiabá,2026-03-05 14:00:00,48,17.2,11841.9,Em Operação
CH-10422,EQP-243,Trator Agro,Mogi das Cruzes,2026-02-19 21:00:00,24,29.6,3555.73,Em Operação
CH-10423,EQP-241,Trator Agro,Mogi das Cruzes,2026-05-29 03:00:00,24,31.3,4926.39,Em Operação
CH-10424,EQP-214,Escavadeira Linha Amarela,Mogi das Cruzes,2026-03-10 06:00:00,72,55.7,8340.12,Em Manutenção
CH-10425,EQP-242,Escavadeira Linha Amarela,Mogi das Cruzes,2026-02-17 15:00:00,48,11.8,9833.09,Em Manutenção
CH-10426,EQP-191,Utilitário Leve,Ribeirão Preto,2026-01-20 21:00:00,48,34.9,5183.48,Em Operação
CH-10427,EQP-197,Caminhão Heavy Duty,Uberlândia,2026-04-11 20:00:00,24,97.8,3923.13,Em Operação
CH-10428,EQP-165,Utilitário Leve,Jundiaí,2026-06-21 21:00:00,24,39.3,11272.56,Em Operação
CH-10429,EQP-131,Caminhão Heavy Duty,Ribeirão Preto,2026-06-10 20:00:00,24,20.2,8222.6,Em Operação
CH-10430,EQP-290,Escavadeira Linha Amarela,Ribeirão Preto,2026-05-17 07:00:00,48,29.9,1692.55,Em Operação
CH-10431,EQP-185,Escavadeira Linha Amarela,Jundiaí,2026-03-09 16:00:00,24,40.4,1106.46,Em Operação
CH-10432,EQP-150,Escavadeira Linha Amarela,Jundiaí,2026-02-04 15:00:00,24,28.4,5957.53,Em Manutenção
CH-10433,EQP-252,Utilitário Leve,Mogi das Cruzes,2026-03-06 22:00:00,72,0.5,2875.05,Em Operação
CH-10434,EQP-285,Trator Agro,Ribeirão Preto,2026-01-08 09:00:00,24,6.5,3271.62,Em Operação
CH-10435,EQP-162,Trator Agro,Cuiabá,2026-02-14 09:00:00,24,49.9,10569.0,Em Operação
CH-10436,EQP-289,Escavadeira Linha Amarela,Jundiaí,2026-03-28 01:00:00,48,9.6,1347.92,Em Operação
CH-10437,EQP-224,Trator Agro,Jundiaí,2026-06-24 08:00:00,48,39.5,8669.76,Em Operação
CH-10438,EQP-249,Trator Agro,Uberlândia,2026-06-17 16:00:00,72,14.0,3472.36,Em Operação
CH-10439,EQP-157,Utilitário Leve,Cuiabá,2026-03-17 10:00:00,24,22.1,9195.84,Em Operação
CH-10440,EQP-157,Caminhão Heavy Duty,Cuiabá,2026-03-17 09:00:00,72,2.1,8752.21,Em Operação
CH-10441,EQP-185,Escavadeira Linha Amarela,Jundiaí,2026-06-23 21:00:00,48,6.0,386.49,Em Operação
CH-10442,EQP-148,Escavadeira Linha Amarela,Mogi das Cruzes,2026-02-16 16:00:00,72,94.5,6256.88,Em Operação
CH-10443,EQP-279,Utilitário Leve,Uberlândia,2026-01-15 03:00:00,48,66.3,1930.04,Em Operação
CH-10444,EQP-269,Utilitário Leve,Cuiabá,2026-04-15 15:00:00,72,31.7,10434.86,Em Operação
CH-10445,EQP-169,Trator Agro,Jundiaí,2026-05-27 19:00:00,72,18.5,10497.55,Em Operação
CH-10446,EQP-114,Escavadeira Linha Amarela,Cuiabá,2026-01-26 14:00:00,24,33.8,5194.65,Em Manutenção
CH-10447,EQP-153,Caminhão Heavy Duty,Uberlândia,2026-02-21 20:00:00,72,28.9,5499.43,Em Operação
CH-10448,EQP-287,Utilitário Leve,Uberlândia,2026-04-03 04:00:00,24,25.2,3848.41,Em Manutenção
CH-10449,EQP-200,Caminhão Heavy Duty,Ribeirão Preto,2026-05-30 05:00:00,24,1.8,8684.29,Em Manutenção
CH-10450,EQP-107,Caminhão Heavy Duty,Jundiaí,2026-01-21 16:00:00,24,30.1,4496.34,Em Operação
